运单编号,目的地,计费重量,总运费,备注
3307605096245,江西省,0.7,6.3,
3307605096239,江苏省,0.85,4,
3307605096318,河北省,0.39,6.3,
3307602610172,广东省,0.3,6.3,
3307602610165,辽宁省,0.59,6.3,
3307602610159,福建省,0.4,6.3,
3307602610147,广东省,0.6,6.3,
3307602610135,山西省,0.48,6.3,
3307602610123,广东省,0.46,6.3,
3307602610111,黑龙江省,0.37,6.3,
3307602610100,江苏省,0.85,4,
3307602610093,福建省,0.5,6.3,
3307650895849,广西壮族自治区,0.2,6.3,
3307608124265,河南省,0.62,6.3,
3307650895855,北京,0.25,6.3,
3307650895862,福建省,0.4,6.3,
3307650895874,广东省,0.2,6.3,
3307608124314,湖南省,0.2,6.3,
3307608124302,湖北省,0.38,6.3,
3307608124296,天津,0.5,6.3,
3307608124284,北京,0.65,6.3,
3307608124272,江西省,0.55,6.3,
3307606450194,山西省,0.5,6.3,
3307606450285,河北省,1.25,8.19,
3307606450273,河南省,0.2,6.3,
3307606450261,天津,0.36,6.3,
3307606450250,北京,0.35,6.3,
3307606450248,江苏省,0.36,4,
3307606450236,福建省,0.66,6.3,
3307606450224,北京,0.3,6.3,
3307606450212,内蒙古自治区,0.76,6.3,
3307606450205,山东省,0.74,6.3,
3307627920900,辽宁省,0.43,6.3,
3307555344025,新疆维吾尔自治区,0.36,6.3,
3307569226620,广东省,0.2,6.3,
3307569226618,北京,0.5,6.3,
3307569226606,江苏省,0.3,4,
3307569226590,湖北省,0.27,6.3,
3307599493880,天津,0.35,6.3,
3307555344044,广东省,0.2,6.3,
3307555344032,湖南省,0.2,6.3,
3307569226631,山东省,0.5,6.3,
3307555344019,广东省,0.45,6.3,
3307555344007,福建省,0.5,6.3,
3307555343993,广东省,0.65,6.3,
3307555343981,福建省,0.2,6.3,
3307555343970,山东省,0.5,6.3,
3307555343968,福建省,0.6,6.3,
3307555343956,广东省,0.4,6.3,
3307554462440,江苏省,0.2,4,
3307554462438,天津,0.3,6.3,
3307569625446,天津,0.2,6.3,
3307569799155,广东省,0.2,6.3,
3307569799149,广东省,0.2,6.3,
3307569799137,江苏省,0.95,4,
3307569799125,黑龙江省,0.2,6.3,
3307569799113,北京,0.95,6.3,
3307569625460,山东省,1,6.3,
3307569625458,辽宁省,0.2,6.3,
3307569226643,江西省,0.36,6.3,
3307569625434,江西省,0.25,6.3,
3307569625422,北京,0.66,6.3,
3307569625415,山东省,0.45,6.3,
3307569226685,山东省,0.18,6.3,
3307569226679,河北省,0.2,6.3,
3307569226667,山东省,0.47,6.3,
